,num_incident,accident_type
361,2010S000362,frontal-lateral_collision
362,2010S000363,run_over
363,2010S000364,frontal-lateral_collision
364,2010S000365,multiple_rear-end_collision
365,2010S000366,frontal-lateral_collision
366,2010S000367,fall--motorcycle
367,2010S000368,lateral_collision
368,2010S000369,fall--motorcycle
369,2010S000370,rear-end_collision
370,2010S000371,lateral_collision
371,2010S000372,Other_types
372,2010S000373,lateral_collision
373,2010S000374,lateral_collision
374,2010S000375,crash_into_stationary
375,2010S000376,crash_into_stationary
376,2010S000377,crash_into_stationary
377,2010S000378,crash_into_stationary
378,2010S000379,crash_into_stationary
379,2010S000380,"frontal-lateral_collision,lateral_collision"
380,2010S000381,frontal-lateral_collision
381,2010S000382,rear-end_collision
382,2010S000383,frontal-lateral_collision
383,2010S000384,crash_into_stationary
384,2010S000385,rear-end_collision
385,2010S000386,frontal-lateral_collision
386,2010S000387,rear-end_collision
387,2010S000388,Other_types
388,2010S000389,frontal-lateral_collision
389,2010S000390,multiple_rear-end_collision
390,2010S000391,lateral_collision
391,2010S000392,run_over
392,2010S000393,fall_inside_vehicle
393,2010S000394,rear-end_collision
394,2010S000395,fall--motorcycle
395,2010S000396,rear-end_collision
396,2010S000397,fall--motorcycle
397,2010S000398,fall--motorcycle
398,2010S000399,frontal-lateral_collision
399,2010S000400,lateral_collision
400,2010S000401,fall--motorcycle
401,2010S000402,fall--motorcycle
402,2010S000403,fall--motorcycle
403,2010S000404,run_over
404,2010S000405,multiple_rear-end_collision
405,2010S000406,rear-end_collision
406,2010S000407,rear-end_collision
407,2010S000408,frontal-lateral_collision
408,2010S000409,fall--motorcycle
409,2010S000410,frontal-lateral_collision
410,2010S000411,run_over
411,2010S000412,fall--motorcycle
412,2010S000413,run_over
413,2010S000414,lateral_collision
414,2010S000415,lateral_collision
415,2010S000416,lateral_collision
416,2010S000417,"rear-end_collision,fall--motorcycle"
417,2010S000418,rear-end_collision
418,2010S000419,run_over
419,2010S000420,fall--motorcycle
420,2010S000421,frontal-lateral_collision
421,2010S000422,"Other_types,crash_into_stationary,overturning"
422,2010S000423,fall--motorcycle
423,2010S000424,run_over
424,2010S000425,lateral_collision
425,2010S000426,run_over
426,2010S000427,lateral_collision
427,2010S000428,multiple_rear-end_collision
428,2010S000429,crash_into_stationary
429,2010S000430,frontal-lateral_collision
430,2010S000431,fall--motorcycle
431,2010S000432,run_over
432,2010S000433,multiple_rear-end_collision
433,2010S000434,lateral_collision
434,2010S000435,run_over
435,2010S000436,frontal-lateral_collision
436,2010S000437,frontal-lateral_collision
437,2010S000438,rear-end_collision
438,2010S000439,"frontal-lateral_collision,rear-end_collision"
439,2010S000440,Other_types
440,2010S000441,rear-end_collision
441,2010S000442,crash_into_stationary
442,2010S000443,run_over
443,2010S000444,rear-end_collision
444,2010S000445,frontal-lateral_collision
445,2010S000446,frontal_collision
446,2010S000447,rear-end_collision
447,2010S000448,crash_into_stationary
448,2010S000449,lateral_collision
449,2010S000450,lateral_collision
450,2010S000451,lateral_collision
451,2010S000452,rear-end_collision
452,2010S000453,lateral_collision
453,2010S000454,lateral_collision
454,2010S000455,run_over
455,2010S000456,lateral_collision
456,2010S000457,crash_into_stationary
457,2010S000458,rear-end_collision
458,2010S000459,fall--motorcycle
459,2010S000460,run_over
460,2010S000461,lateral_collision
461,2010S000462,"Other_types,lateral_collision"
462,2010S000463,lateral_collision
463,2010S000464,fall--motorcycle
464,2010S000465,frontal-lateral_collision
465,2010S000466,rear-end_collision
466,2010S000467,fall--motorcycle
467,2010S000468,frontal_collision
468,2010S000469,frontal-lateral_collision
469,2010S000470,frontal-lateral_collision
470,2010S000471,rear-end_collision
471,2010S000472,crash_into_stationary
472,2010S000473,"frontal-lateral_collision,crash_into_stationary"
473,2010S000474,lateral_collision
474,2010S000475,"crash_into_stationary,frontal-lateral_collision"
475,2010S000476,frontal-lateral_collision
476,2010S000477,frontal-lateral_collision
477,2010S000478,run_over
478,2010S000479,frontal-lateral_collision
479,2010S000480,rear-end_collision
480,2010S000481,fall--motorcycle
481,2010S000482,run_over
482,2010S000483,rear-end_collision
483,2010S000484,lateral_collision
484,2010S000485,frontal-lateral_collision
485,2010S000486,"run_over,fall--motorcycle,crash_into_stationary"
486,2010S000487,"crash_into_stationary,lateral_collision"
487,2010S000488,run_over
488,2010S000489,lateral_collision
489,2010S000490,lateral_collision
490,2010S000491,rear-end_collision
491,2010S000492,lateral_collision
492,2010S000493,rear-end_collision
493,2010S000494,run_over
494,2010S000495,run_over
495,2010S000496,rear-end_collision
496,2010S000497,lateral_collision
497,2010S000498,rear-end_collision
498,2010S000499,run_over
499,2010S000500,rear-end_collision
500,2010S000501,lateral_collision
501,2010S000502,crash_into_stationary
502,2010S000503,fall--motorcycle
503,2010S000504,Other_types
504,2010S000505,frontal-lateral_collision
505,2010S000506,lateral_collision
506,2010S000507,"crash_into_stationary,fall--motorcycle"
507,2010S000508,crash_into_stationary
508,2010S000509,frontal-lateral_collision
509,2010S000510,lateral_collision
510,2010S000511,rear-end_collision
511,2010S000512,frontal-lateral_collision
512,2010S000513,frontal-lateral_collision
513,2010S000514,lateral_collision
514,2010S000515,run_over
515,2010S000516,rear-end_collision
516,2010S000517,"run_over,fall_inside_vehicle"
517,2010S000518,run_over
518,2010S000519,lateral_collision
519,2010S000520,run_over
520,2010S000521,lateral_collision
521,2010S000522,rear-end_collision
522,2010S000523,run_over
523,2010S000524,run_over
524,2010S000525,run_over
525,2010S000526,rear-end_collision
526,2010S000527,fall--motorcycle
527,2010S000528,lateral_collision
528,2010S000529,fall_inside_vehicle
529,2010S000530,lateral_collision
530,2010S000531,fall--motorcycle
531,2010S000532,rear-end_collision
532,2010S000533,run_over
533,2010S000534,lateral_collision
534,2010S000535,lateral_collision
535,2010S000536,run_over
536,2010S000537,fall_inside_vehicle
537,2010S000538,frontal-lateral_collision
538,2010S000539,crash_into_stationary
539,2010S000540,run_over
540,2010S000541,fall--motorcycle
541,2010S000542,crash_into_stationary
542,2010S000543,run_over
543,2010S000544,crash_into_stationary
544,2010S000545,lateral_collision
545,2010S000546,rear-end_collision
546,2010S000547,lateral_collision
547,2010S000548,"crash_into_stationary,fall--motorcycle"
548,2010S000549,crash_into_stationary
549,2010S000550,frontal-lateral_collision
550,2010S000551,frontal-lateral_collision
551,2010S000552,frontal-lateral_collision
552,2010S000553,Other_types
553,2010S000554,run_over
554,2010S000555,crash_into_stationary
555,2010S000556,frontal-lateral_collision
556,2010S000557,crash_into_stationary
557,2010S000558,rear-end_collision
558,2010S000559,"run_over,crash_into_stationary,rear-end_collision"
559,2010S000560,lateral_collision
560,2010S000561,frontal-lateral_collision
561,2010S000562,crash_into_stationary
562,2010S000563,run_over
563,2010S000564,lateral_collision
564,2010S000565,run_over
565,2010S000566,frontal-lateral_collision
566,2010S000567,run_over
567,2010S000568,crash_into_stationary
568,2010S000569,run_over
569,2010S000570,multiple_rear-end_collision
570,2010S000571,fall--motorcycle
571,2010S000572,fall--motorcycle
572,2010S000573,"multiple_rear-end_collision,crash_into_stationary"
573,2010S000574,run_over
574,2010S000575,rear-end_collision
575,2010S000576,rear-end_collision
576,2010S000577,crash_into_stationary
577,2010S000578,frontal_collision
578,2010S000579,crash_into_stationary
579,2010S000580,frontal-lateral_collision
580,2010S000581,run_over
581,2010S000582,frontal-lateral_collision
582,2010S000583,run_over
583,2010S000584,"rear-end_collision,overturning"
584,2010S000585,"frontal_collision,fall--motorcycle"
585,2010S000586,crash_into_stationary
586,2010S000587,frontal-lateral_collision
587,2010S000588,rear-end_collision
588,2010S000589,frontal_collision
589,2010S000590,frontal-lateral_collision
590,2010S000591,run_over
591,2010S000592,rear-end_collision
592,2010S000593,crash_into_stationary
593,2010S000594,lateral_collision
594,2010S000595,frontal-lateral_collision
595,2010S000596,crash_into_stationary
596,2010S000597,rear-end_collision
597,2010S000598,crash_into_stationary
598,2010S000599,"rear-end_collision,fall--motorcycle"
599,2010S000600,lateral_collision
600,2010S000601,lateral_collision
601,2010S000602,Other_types
602,2010S000603,run_over
603,2010S000604,lateral_collision
604,2010S000605,lateral_collision
605,2010S000606,fall--motorcycle
606,2010S000607,run_over
607,2010S000608,crash_into_stationary
608,2010S000609,fall--motorcycle
609,2010S000610,rear-end_collision
610,2010S000611,lateral_collision
611,2010S000612,lateral_collision
612,2010S000613,frontal-lateral_collision
613,2010S000614,run_over
614,2010S000615,rear-end_collision
615,2010S000616,lateral_collision
616,2010S000617,run_over
617,2010S000618,run_over
618,2010S000619,lateral_collision
619,2010S000620,rear-end_collision
620,2010S000621,lateral_collision
621,2010S000622,lateral_collision
622,2010S000623,Other_types
623,2010S000624,lateral_collision
